Description,Code,Number of jobs (thousand),Median,Annual percentage change,Mean,Annual percentage change,10,20,25,30,40,60,70,75,80,90
      Records clerks and assistants,4131,9,18821,6.1,19181,4.2,x,x,x,x,x,x,x,x,x,x
      Pensions and insurance clerks and assistants,4132,x,19350,2.5,21757,-0.9,x,x,x,x,x,x,x,x,x,x
      Stock control clerks and assistants,4133,x,22970,4.1,24236,-2.2,x,x,x,x,x,x,x,x,x,x
      Transport and distribution clerks and assistants,4134,x,x,,19515,1.8,x,x,x,x,x,x,x,x,x,x
      Library clerks and assistants,4135,x,16620,15.9,17909,11.2,x,x,x,x,x,x,x,x,x,x
      Human resources administrative occupations,4138,x,21365,-6.1,21507,-6.1,x,x,x,x,x,x,x,x,x,x
    Other administrative occupations,415,12,13660,14.4,14207,11.3,x,7582,8430,9000,11954,15945,17174,18331,x,x
      Sales administrators,4151,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Other administrative occupations n.e.c.,4159,11,13525,14.2,13874,8.9,x,x,x,x,x,x,x,x,x,x
    Administrative occupations: Office managers and supervisors,416,x,25872,2.9,25964,4.6,x,x,x,21816,22668,27124,x,x,x,x
      Office managers,4161,x,x,,28492,5.4,x,x,x,x,x,x,x,x,x,x
      Office supervisors,4162,x,21274,-1.8,20640,1.2,x,x,x,x,x,x,x,x,x,x
  Secretarial and related occupations,42,15,16195,-2,16334,0.7,8018,9488,10182,11644,14361,17927,19656,20433,x,x
    Secretarial and related occupations,421,15,16195,-2,16334,0.7,8018,9488,10182,11644,14361,17927,19656,20433,x,x
      Medical secretaries,4211,x,x,,17988,2.6,x,x,x,x,x,x,x,x,x,x
      Legal secretaries,4212,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      School secretaries,4213,x,x,,17152,4.2,x,x,x,x,x,x,x,x,x,x
      Company secretaries,4214,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Personal assistants and other secretaries,4215,x,18500,3,18241,2.7,x,x,x,x,x,x,x,x,x,x
      Receptionists,4216,5,14391,2.7,13679,1,x,x,x,x,x,x,x,x,x,x
      Typists and related keyboard occupations,4217,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Skilled trades occupations,5,58,23019,4.7,25381,6.1,12317,16395,17626,18591,20988,25506,28870,30788,32297,x
  Skilled agricultural and related trades,51,x,17585,,17388,,x,x,x,x,16330,17855,x,x,x,x
    Agricultural and related trades,511,x,17585,,17388,,x,x,x,x,16330,17855,x,x,x,x
      Farmers,5111,..,,,,,,,,,,,,,,
      Horticultural trades,5112,..,,,,,,,,,,,,,,
      Gardeners and landscape gardeners,5113,x,x,,18708,10.7,x,x,x,x,x,x,x,x,x,x
      Groundsmen and greenkeepers,5114,x,17514,,17637,,x,x,x,x,x,x,x,x,x,x
      Agricultural and fishing trades n.e.c.,5119,:,,,,,,,,,,,,,,
"  Skilled metal, electrical and electronic trades",52,31,26220,2.8,28823,6.6,15504,19063,20997,21524,24356,28985,31531,32915,35032,x
"    Metal forming, welding and related trades",521,x,24397,5.9,x,,x,x,20551,21025,22316,26316,x,x,x,x
      Smiths and forge workers,5211,:,,,,,,,,,,,,,,
"      Moulders, core makers and die casters",5212,..,,,,,,,,,,,,,,
      Sheet metal workers,5213,..,,,,,,,,,,,,,,
"      Metal plate workers, and riveters",5214,..,,,,,,,,,,,,,,
      Welding trades,5215,x,23772,3.1,x,,x,x,x,x,x,x,x,x,x,x
      Pipe fitters,5216,:,,,,,,,,,,,,,,
"    Metal machining, fitting and instrument making trades",522,10,27517,3.7,28501,2.1,x,19704,21103,22579,24295,30547,33021,x,x,x
      Metal machining setters and setter-operators,5221,x,32273,,34569,18.2,x,x,x,x,x,x,x,x,x,x
"      Tool makers, tool fitters and markers-out",5222,..,,,,,,,,,,,,,,
      Metal working production and maintenance fitters,5223,9,27507,3.6,28585,1.3,x,x,x,x,x,x,x,x,x,x
      Precision instrument makers and repairers,5224,:,,,,,,,,,,,,,,
      Air-conditioning and refrigeration engineers,5225,x,x,,23090,2.7,x,x,x,x,x,x,x,x,x,x
    Vehicle trades,523,7,25486,1.2,26986,-5.7,x,20621,21429,22704,24478,27727,x,x,x,x
"      Vehicle technicians, mechanics and electricians",5231,x,x,,26041,5.4,x,x,x,x,x,x,x,x,x,x
      Vehicle body builders and repairers ,5232,x,25474,5.4,25622,-3.4,x,x,x,x,x,x,x,x,x,x
      Vehicle paint technicians,5234,..,,,,,,,,,,,,,,
      Aircraft maintenance and related trades,5235,x,x,,32129,-23.1,x,x,x,x,x,x,x,x,x,x
      Boat and ship builders and repairers,5236,..,,,,,,,,,,,,,,
      Rail and rolling stock builders and repairers,5237,..,,,,,,,,,,,,,,
    Electrical and electronic trades,524,x,24906,,25450,,x,x,x,x,21133,x,x,x,x,x
      Electricians and electrical fitters,5241,x,x,,22188,,x,x,x,x,x,x,x,x,x,x
      Telecommunications engineers,5242,..,,,,,,,,,,,,,,
"      TV, video and audio engineers",5244,..,,,,,,,,,,,,,,
      IT engineers,5245,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Electrical and electronic trades n.e.c.,5249,x,x,,29444,-2.4,x,x,x,x,x,x,x,x,x,x
"    Skilled metal, electrical and electronic trades supervisors",525,x,31479,,32261,-1.7,x,x,x,x,x,x,x,x,x,x
"      Skilled metal, electrical and electronic trades supervisors",5250,x,31479,,32261,-1.7,x,x,x,x,x,x,x,x,x,x
  Skilled construction and building trades,53,11,25980,16.6,27324,9.6,x,19620,20899,21463,22696,27940,30852,x,x,x
    Construction and building trades,531,8,23581,7.5,24717,6.3,x,18896,20334,20932,21785,26477,28465,x,x,x
      Steel erectors,5311,x,24836,-1.4,26845,3.7,x,x,x,x,x,x,x,x,x,x
      Bricklayers and masons,5312,:,,,,,,,,,,,,,,
"      Roofers, roof tilers and slaters",5313,x,21061,-8.4,25159,-1.9,x,x,x,x,x,x,x,x,x,x
      Plumbers and heating and ventilating engineers,5314,x,x,,26052,4.7,x,x,x,x,x,x,x,x,x,x
      Carpenters and joiners,5315,x,22884,5.1,24252,3.3,x,x,x,x,x,x,x,x,x,x
"      Glaziers, window fabricators and fitters",5316,x,19466,,19730,29.1,x,x,x,x,x,x,x,x,x,x
      Construction and building trades n.e.c.,5319,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Building finishing trades,532,x,21045,,23144,20.5,x,x,x,x,x,x,x,x,x,x
      Plasterers,5321,..,,,,,,,,,,,,,,
      Floorers and wall tilers,5322,:,,,,,,,,,,,,,,
      Painters and decorators,5323,x,x,,21842,,x,x,x,x,x,x,x,x,x,x
    Construction and building trades supervisors,533,x,39099,21.7,40162,5.9,x,x,x,x,x,x,x,x,x,x
      Construction and building trades supervisors,5330,x,39099,21.7,40162,5.9,x,x,x,x,x,x,x,x,x,x
"  Textiles, printing and other skilled trades",54,12,16729,3,17353,6.9,x,11832,12204,14248,15014,17904,19853,x,x,x
    Textiles and garments trades,541,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Weavers and knitters,5411,x,x,,27846,0.4,x,x,x,x,x,x,x,x,x,x
      Upholsterers,5412,:,,,,,,,,,,,,,,
      Footwear and leather working trades,5413,:,,,,,,,,,,,,,,
      Tailors and dressmakers,5414,..,,,,,,,,,,,,,,
"      Textiles, garments and related trades n.e.c.",5419,:,,,,,,,,,,,,,,
    Printing trades,542,x,x,,19699,5,x,x,x,x,x,x,x,x,x,x
      Pre-press technicians,5421,:,,,,,,,,,,,,,,
      Printers,5422,..,,,,,,,,,,,,,,
      Print finishing and binding workers,5423,..,,,,,,,,,,,,,,
    Food preparation and hospitality trades,543,10,16504,,17086,8.7,x,11833,12249,14209,15016,17626,19396,x,x,x
      Butchers,5431,x,16496,4.8,17738,7.5,x,x,x,x,x,x,x,x,x,x
      Bakers and flour confectioners,5432,x,x,,12542,-17,x,x,x,x,x,x,x,x,x,x
      Fishmongers and poultry dressers,5433,x,x,,14968,1.4,x,x,x,x,x,x,x,x,x,x
      Chefs,5434,x,20208,,22108,,x,x,x,x,x,x,x,x,x,x
      Cooks,5435,x,x,,12986,6.9,x,x,x,x,x,x,x,x,x,x
      Catering and bar managers,5436,x,14693,-7,15939,-5.7,x,x,x,x,x,x,x,x,x,x
    Other skilled trades,544,x,14803,-8.2,14977,3.8,x,x,x,x,x,x,x,x,x,x
"      Glass and ceramics makers, decorators and finishers",5441,..,,,,,,,,,,,,,,
      Furniture makers and other craft woodworkers,5442,..,,,,,,,,,,,,,,
      Florists,5443,..,,,,,,,,,,,,,,
      Other skilled trades n.e.c.,5449,x,16350,-4.8,17814,5.3,x,x,x,x,x,x,x,x,x,x
"Caring, leisure and other service occupations",6,58,14031,11.5,14300,7.1,5969,8455,9629,10562,12440,15554,17553,18444,19531,x
  Caring personal service occupations,61,49,13919,9.6,14201,6,5844,8767,9663,10586,12478,15221,17447,18083,18890,x
    Childcare and related personal services,612,19,11478,4.7,11348,4.6,x,7532,8244,8729,10194,12647,13837,14513,x,x
      Nursery nurses and assistants,6121,x,12981,0.4,13094,6.1,x,x,x,x,x,x,x,x,x,x
      Childminders and related occupations,6122,x,12691,,12168,21.9,x,x,x,x,x,x,x,x,x,x
      Playworkers,6123,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Teaching assistants,6125,8,9660,,9803,,x,x,x,x,x,x,x,x,x,x
      Educational support assistants,6126,x,12707,5.2,13206,2,x,x,x,x,x,x,x,x,x,x
    Animal care and control services,613,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Veterinary nurses,6131,..,,,,,,,,,,,,,,
      Pest control officers,6132,..,,,,,,,,,,,,,,
      Animal care services occupations n.e.c.,6139,..,,,,,,,,,,,,,,
    Caring personal services,614,29,16057,8.6,16119,6.9,6394,10392,11562,12952,14464,17524,18854,19656,20077,x
      Nursing auxiliaries and assistants,6141,7,17997,0.5,17771,4.2,x,x,x,x,x,x,x,x,x,x
      Ambulance staff (excluding paramedics),6142,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Dental nurses,6143,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Houseparents and residential wardens,6144,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Care workers and home carers,6145,19,14773,4.9,15268,7.1,x,x,x,x,x,x,x,x,x,x
      Senior care workers,6146,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Care escorts,6147,x,x,,12576,,x,x,x,x,x,x,x,x,x,x
"      Undertakers, mortuary and crematorium assistants",6148,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"  Leisure, travel and related personal service occupations",62,9,14872,,14838,,x,6822,8182,9730,12000,16795,19749,20900,x,x
    Leisure and travel services,621,x,19303,,17751,,x,x,x,x,15997,20827,x,x,x,x
      Sports and leisure assistants,6211,x,19459,,18968,10.5,x,x,x,x,x,x,x,x,x,x
      Travel agents,6212,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Air travel assistants,6214,..,,,,,,,,,,,,,,
      Rail travel assistants,6215,..,,,,,,,,,,,,,,
      Leisure and travel service occupations n.e.c.,6219,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Hairdressers and related services,622,x,x,,8798,-2.3,x,x,x,x,x,x,x,x,x,x
      Hairdressers and barbers,6221,x,6741,,8699,-0.8,x,x,x,x,x,x,x,x,x,x
      Beauticians and related occupations,6222,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Housekeeping and related services,623,x,x,,16519,14.8,x,x,x,x,x,x,x,x,x,x
      Housekeepers and related occupations,6231,x,14376,,15104,,x,x,x,x,x,x,x,x,x,x
      Caretakers,6232,x,x,,16776,16.5,x,x,x,x,x,x,x,x,x,x
    Cleaning and housekeeping managers and supervisors,624,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Cleaning and housekeeping managers and supervisors,6240,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Sales and customer service occupations,7,51,11700,0,13073,3.3,4477,6241,6835,7802,9978,14039,15976,17031,18151,x
  Sales occupations,71,42,10608,-0.3,12321,3.1,4021,5713,6346,7010,8312,12336,14835,15955,17505,x
    Sales assistants and retail cashiers,711,35,9360,-1,10940,3.4,3837,5368,5971,6403,7674,11388,13203,14636,15585,x
      Sales and retail assistants,7111,29,9390,5.7,11023,9,x,x,x,x,x,x,x,x,x,x
      Retail cashiers and check-out operators,7112,x,x,,8472,-8.2,x,x,x,x,x,x,x,x,x,x
      Telephone salespersons,7113,x,x,,16401,-17.7,x,x,x,x,x,x,x,x,x,x
      Pharmacy and other dispensing assistants,7114,x,x,,10983,-5.7,x,x,x,x,x,x,x,x,x,x
      Vehicle and parts salespersons and advisers,7115,..,,,,,,,,,,,,,,
    Sales related occupations,712,x,23896,,22942,10.2,x,x,x,x,x,x,x,x,x,x
      Collector salespersons and credit agents,7121,..,,,,,,,,,,,,,,
"      Debt, rent and other cash collectors",7122,x,18534,,21320,9.2,x,x,x,x,x,x,x,x,x,x
      Roundspersons and van salespersons,7123,x,24473,,23438,21.6,x,x,x,x,x,x,x,x,x,x
      Market and street traders and assistants,7124,:,,,,,,,,,,,,,,
      Merchandisers and window dressers,7125,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Sales related occupations n.e.c.,7129,x,x,,25751,6.4,x,x,x,x,x,x,x,x,x,x
    Sales supervisors,713,x,18222,-3.3,18736,-4.3,x,x,x,14352,15982,x,x,x,x,x
      Sales supervisors,7130,x,18222,-3.3,18736,-4.3,x,x,x,x,x,x,x,x,x,x
  Customer service occupations,72,9,16222,7.6,16410,3.8,8745,11288,11674,12186,15246,17040,18396,19006,x,x
    Customer service occupations,721,8,15969,8.3,15786,9.5,x,11095,11585,11850,14569,16697,17538,18459,x,x
      Call and contact centre occupations,7211,5,15939,15.9,15284,11.1,x,x,x,x,x,x,x,x,x,x
      Telephonists,7213,x,x,,15066,,x,x,x,x,x,x,x,x,x,x
      Communication operators,7214,..,,,,,,,,,,,,,,
      Market research interviewers,7215,..,,,,,,,,,,,,,,
      Customer service occupations n.e.c.,7219,x,x,,17492,7.5,x,x,x,x,x,x,x,x,x,x
    Customer service managers and supervisors,722,x,20141,-1.7,21297,-3.4,x,x,x,x,x,x,x,x,x,x
      Customer service managers and supervisors,7220,x,20141,-1.7,21297,-3.4,x,x,x,x,x,x,x,x,x,x
"Process, plant and machine operatives",8,61,21285,4.9,21951,4.2,12104,15845,16835,17665,19194,23595,25796,26625,28622,x
"  Process, plant and machine operatives",81,40,20690,7.7,21468,3.1,11967,15844,16477,17370,18790,22660,24701,26332,27335,x
    Process operatives,811,18,19561,5.3,20749,2.5,12338,15724,16226,16978,17917,21124,23868,26045,27447,x
"      Food, drink and tobacco process operatives",8111,10,17639,3.7,18682,3.5,x,x,x,x,x,x,x,x,x,x
      Glass and ceramics process operatives,8112,..,,,,,,,,,,,,,,
      Textile process operatives,8113,x,x,,19680,,x,x,x,x,x,x,x,x,x,x
      Chemical and related process operatives,8114,x,21899,,23024,,x,x,x,x,x,x,x,x,x,x
      Rubber process operatives,8115,x,x,,31155,-1.5,x,x,x,x,x,x,x,x,x,x
      Plastics process operatives,8116,x,21635,-16.7,25846,-1.8,x,x,x,x,x,x,x,x,x,x
      Metal making and treating process operatives,8117,x,18264,,20925,,x,x,x,x,x,x,x,x,x,x
      Electroplaters,8118,:,,,,,,,,,,,,,,
      Process operatives n.e.c.,8119,x,17820,-0.6,20385,4.8,x,x,x,x,x,x,x,x,x,x
    Plant and machine operatives,812,x,21474,11.8,19912,3,x,x,x,17539,18870,21723,x,x,x,x
      Paper and wood machine operatives,8121,x,18397,,17899,-1.2,x,x,x,x,x,x,x,x,x,x
      Coal mine operatives,8122,:,,,,,,,,,,,,,,
      Quarry workers and related operatives,8123,:,,,,,,,,,,,,,,
      Energy plant operatives,8124,..,,,,,,,,,,,,,,
      Metal working machine operatives,8125,x,20701,,21583,10.9,x,x,x,x,x,x,x,x,x,x
      Water and sewerage plant operatives,8126,..,,,,,,,,,,,,,,
      Printing machine assistants,8127,..,,,,,,,,,,,,,,
      Plant and machine operatives n.e.c.,8129,x,21717,18.7,20751,17,x,x,x,x,x,x,x,x,x,x
    Assemblers and routine operatives,813,13,22529,3.4,23020,2.4,13973,16145,17082,18472,20001,23902,26087,26603,x,x
      Assemblers (electrical and electronic products),8131,x,26031,8.5,26759,10.2,x,x,x,x,x,x,x,x,x,x
      Assemblers (vehicles and metal goods),8132,x,24176,-2.1,25518,-2.1,x,x,x,x,x,x,x,x,x,x
      Routine inspectors and testers,8133,x,23658,2.7,26573,6.9,x,x,x,x,x,x,x,x,x,x
"      Weighers, graders and sorters",8134,x,x,,18803,,x,x,x,x,x,x,x,x,x,x
"      Tyre, exhaust and windscreen fitters",8135,x,16203,-2.3,16086,-8.5,x,x,x,x,x,x,x,x,x,x
      Sewing machinists,8137,x,13823,2.8,14073,1.1,x,x,x,x,x,x,x,x,x,x
      Assemblers and routine operatives n.e.c.,8139,x,18884,6.9,19893,-3.9,x,x,x,x,x,x,x,x,x,x
    Construction operatives,814,x,x,,21582,6.4,x,x,x,x,x,x,x,x,x,x
"      Scaffolders, stagers and riggers",8141,..,,,,,,,,,,,,,,
      Road construction operatives,8142,x,26795,14.8,28099,12,x,x,x,x,x,x,x,x,x,x
      Rail construction and maintenance operatives,8143,:,,,,,,,,,,,,,,
      Construction operatives n.e.c.,8149,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Transport and mobile machine drivers and operatives,82,22,22858,5.9,22833,6,12378,15793,17339,18218,20594,25135,26494,28587,30231,x
    Road transport drivers,821,18,22689,6.1,22407,7.1,11017,15276,16633,17839,20503,25033,26320,27571,29378,x
      Large goods vehicle drivers,8211,8,24335,9,24143,8.3,x,x,x,x,x,x,x,x,x,x
      Van drivers,8212,6,20159,4.8,20921,12.2,x,x,x,x,x,x,x,x,x,x
      Bus and coach drivers,8213,x,x,,21438,-2.5,x,x,x,x,x,x,x,x,x,x
      Taxi and cab drivers and chauffeurs,8214,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Driving instructors,8215,..,,,,,,,,,,,,,,
    Mobile machine drivers and operatives,822,x,21172,4.3,22949,2.1,x,x,x,x,x,x,x,x,x,x
      Crane drivers,8221,..,,,,,,,,,,,,,,
      Fork-lift truck drivers,8222,x,20929,3.5,23329,5.3,x,x,x,x,x,x,x,x,x,x
      Agricultural machinery drivers,8223,..,,,,,,,,,,,,,,
      Mobile machine drivers and operatives n.e.c.,8229,x,20852,-4.6,23281,-1.3,x,x,x,x,x,x,x,x,x,x
    Other drivers and transport operatives,823,x,28210,,30001,1.2,x,x,x,x,x,x,x,x,x,x
      Train and tram drivers,8231,..,,,,,,,,,,,,,,
      Marine and waterways transport operatives,8232,:,,,,,,,,,,,,,,
      Air transport operatives,8233,..,,,,,,,,,,,,,,
      Rail transport operatives,8234,x,25177,-2.6,27145,-6.3,x,x,x,x,x,x,x,x,x,x
      Other drivers and transport operatives n.e.c.,8239,..,,,,,,,,,,,,,,
Elementary occupations,9,67,12024,0.6,13093,2.2,4101,5999,6826,7948,9597,14785,16833,18101,19568,23484
  Elementary trades and related occupations,91,9,17302,3.3,17906,0.1,x,12089,14682,15341,15835,18515,20852,22180,x,x
    Elementary agricultural occupations,911,x,x,,16360,1,x,x,x,x,x,x,x,x,x,x
      Farm workers,9111,x,11670,-9.7,13074,-1.9,x,x,x,x,x,x,x,x,x,x
      Forestry workers,9112,..,,,,,,,,,,,,,,
      Fishing and other elementary agriculture occupations n.e.c.,9119,x,x,,19668,6.9,x,x,x,x,x,x,x,x,x,x
    Elementary construction occupations,912,x,16968,,19370,-2.7,x,x,x,x,x,21286,x,x,x,x
      Elementary construction occupations,9120,x,x,,19370,-2.7,x,x,x,x,x,x,x,x,x,x
    Elementary process plant occupations,913,x,17413,,18469,,x,x,x,15798,16589,18163,x,x,x,x
      Industrial cleaning process occupations,9132,x,x,,14286,-3.8,x,x,x,x,x,x,x,x,x,x
"      Packers, bottlers, canners and fillers",9134,x,18240,,19765,16.8,x,x,x,x,x,x,x,x,x,x
      Elementary process plant occupations n.e.c.,9139,x,16774,,18206,,x,x,x,x,x,x,x,x,x,x
  Elementary administration and service occupations,92,58,11080,-0.5,12362,3.1,3935,5732,6275,7342,8908,13138,16125,17397,18923,x
    Elementary administration occupations,921,5,23472,,22488,,x,x,19253,20699,22720,24315,24988,x,x,x
"      Postal workers, mail sorters, messengers and couriers",9211,x,24228,-1.2,24550,-1.5,x,x,x,x,x,x,x,x,x,x
      Elementary administration occupations n.e.c.,9219,x,x,,12199,,x,x,x,x,x,x,x,x,x,x
    Elementary cleaning occupations,923,14,9323,-1.4,10651,4.8,4287,6214,6594,7245,8507,11383,12695,14062,x,x
      Window cleaners,9231,:,,,,,,,,,,,,,,
      Street cleaners,9232,..,,,,,,,,,,,,,,
      Cleaners and domestics,9233,12,8858,0.5,9367,2.6,x,x,x,x,x,x,x,x,x,x
"      Launderers, dry cleaners and pressers",9234,x,15571,4.4,16123,10,x,x,x,x,x,x,x,x,x,x
      Refuse and salvage occupations,9235,x,19321,3.7,19438,10.9,x,x,x,x,x,x,x,x,x,x
      Vehicle valeters and cleaners,9236,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Elementary cleaning occupations n.e.c.,9239,:,,,,,,,,,,,,,,
    Elementary security occupations,924,4,x,,12459,-2.3,x,x,x,x,x,x,x,x,x,x
      Security guards and related occupations,9241,x,19596,10.1,19185,8,x,x,x,x,x,x,x,x,x,x
      Parking and civil enforcement occupations,9242,:,,,,,,,,,,,,,,
      School midday and crossing patrol occupations,9244,x,x,,5628,40.8,x,x,x,x,x,x,x,x,x,x
      Elementary security occupations n.e.c.,9249,x,x,,15139,,x,x,x,x,x,x,x,x,x,x
    Elementary sales occupations,925,x,x,,10012,3.8,x,x,x,x,x,x,x,x,x,x
      Shelf fillers,9251,x,x,,9498,10.3,x,x,x,x,x,x,x,x,x,x
      Elementary sales occupations n.e.c.,9259,..,,,,,,,,,,,,,,
    Elementary storage occupations,926,7,19026,0.7,19728,3.9,x,15095,15874,16761,18049,19908,21424,x,x,x
      Elementary storage occupations,9260,7,19026,0.7,19728,3.9,x,x,x,x,x,x,x,x,x,x
    Other elementary services occupations,927,26,8533,-6.9,9727,1.2,2715,4288,5270,5999,7366,10441,12416,13466,15186,x
      Hospital porters,9271,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Kitchen and catering assistants,9272,15,8902,-12.6,9820,-2,x,x,x,x,x,x,x,x,x,x
      Waiters and waitresses,9273,5,x,,8522,23.8,x,x,x,x,x,x,x,x,x,x
      Bar staff,9274,x,x,,10729,2.1,x,x,x,x,x,x,x,x,x,x
      Leisure and theme park attendants,9275,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Other elementary services occupations n.e.c.,9279,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Not Classified,,:,,,,,,,,,,,,,,
